00100;HELSINKI
00120;HELSINKI
00130;HELSINKI
00140;HELSINKI
00150;HELSINKI
00160;HELSINKI
00170;HELSINKI
00180;HELSINKI
00190;HELSINKI
00200;HELSINKI
00210;HELSINKI
00220;HELSINKI
00230;HELSINKI
00240;HELSINKI
00250;HELSINKI
00260;HELSINKI
00270;HELSINKI
00280;HELSINKI
00290;HELSINKI
00300;HELSINKI
00310;HELSINKI
00320;HELSINKI
00330;HELSINKI
00340;HELSINKI
00350;HELSINKI
00360;HELSINKI
00370;HELSINKI
00380;HELSINKI
00390;HELSINKI
00400;HELSINKI
00410;HELSINKI
00420;HELSINKI
00430;HELSINKI
00440;HELSINKI
00500;HELSINKI
00510;HELSINKI
00520;HELSINKI
00530;HELSINKI
00540;HELSINKI
00550;HELSINKI
00560;HELSINKI
00570;HELSINKI
00580;HELSINKI
00590;HELSINKI
00600;HELSINKI
00610;HELSINKI
00620;HELSINKI
00630;HELSINKI
00640;HELSINKI
00650;HELSINKI
00660;HELSINKI
00670;HELSINKI
00680;HELSINKI
00690;HELSINKI
00700;HELSINKI
00710;HELSINKI
00720;HELSINKI
00730;HELSINKI
00740;HELSINKI
00750;HELSINKI
00760;HELSINKI
00770;HELSINKI
00780;HELSINKI
00790;HELSINKI
00800;HELSINKI
00810;HELSINKI
00820;HELSINKI
00830;HELSINKI
00840;HELSINKI
00850;HELSINKI
00860;HELSINKI
00870;HELSINKI
00880;HELSINKI
00890;HELSINKI
00900;HELSINKI
00910;HELSINKI
00920;HELSINKI
00930;HELSINKI
00940;HELSINKI
00950;HELSINKI
00960;HELSINKI
00970;HELSINKI
00980;HELSINKI
00990;HELSINKI
01200;VANTAA
01230;VANTAA
01260;VANTAA
01280;VANTAA
01300;VANTAA
01340;VANTAA
01350;VANTAA
01360;VANTAA
01370;VANTAA
01380;VANTAA
01390;VANTAA
01400;VANTAA
01420;VANTAA
01450;VANTAA
01480;VANTAA
01490;VANTAA
01510;VANTAA
01520;VANTAA
01530;VANTAA
01600;VANTAA
01610;VANTAA
01620;VANTAA
01630;VANTAA
01640;VANTAA
01650;VANTAA
01660;VANTAA
01670;VANTAA
01680;VANTAA
01690;VANTAA
01700;VANTAA
01710;VANTAA
01720;VANTAA
01730;VANTAA
01740;VANTAA
01750;VANTAA
01760;VANTAA
01770;VANTAA
02100;ESPOO
02110;ESPOO
02120;ESPOO
02130;ESPOO
02140;ESPOO
02150;ESPOO
02160;ESPOO
02170;ESPOO
02180;ESPOO
02250;ESPOO
02210;ESPOO
02230;ESPOO
02240;ESPOO
02260;ESPOO
02270;ESPOO
02280;ESPOO
02290;ESPOO
02300;ESPOO
02300;ESPOO
02320;ESPOO
02330;ESPOO
02340;ESPOO
02360;ESPOO
02380;ESPOO
02510;OITMÄKI
02600;ESPOO
02610;ESPOO
02620;ESPOO
02630;ESPOO
02650;ESPOO
02660;ESPOO
02680;ESPOO
02700;KAUNIAINEN
02710;ESPOO
02720;ESPOO
02730;ESPOO
02740;ESPOO
02750;ESPOO
02760;ESPOO
02770;ESPOO
02780;ESPOO
02810;ESPOO
02820;ESPOO
02860;ESPOO
02920;ESPOO
02940;ESPOO
02970;ESPOO
02980;ESPOO
04260;KERAVA
04320;TUUSULA
01800;KLAUKKALA
02200;ESPOO
